Title,Studios,Year,Genre,Director,Producers,Cast,AvgRating,Duration,Description,Poster URL,Page URL
Deathgasm,"Timpson Films, MPI Media Group, Metalheads, New Zealand Film Commission",2015,"Comedy, Horror, Music",Jason Lei Howden,"Andrew Beattie, Sarah Howden, Morgan Leigh Stewart, Robyn Grace, Tim Riley, Craig Jackson","Milo Cawthorne, Kimberley Crossman, Sam Berkley, Delaney Tabron, Colin Moy, Jodie Rimmer, Kate Elliott, James Blake, Daniel Cresswell, Stephen Ure, Nick Hoskins-Smith, Erroll Shand, Aaron McGregor, Andrew Laing, Tim Foley, Cameron Rhodes, Campbell Rousselle, Paula Hallagher, Tori Marsh, Leda Petit, Hannah Tasker-Poland, Ant Timpson",3.2,86,Two teenage boys unwittingly summon an ancient evil entity known as The Blind One by delving into black magic while trying to escape their mundane lives.,https://a.ltrbxd.com/resized/sm/upload/vt/7i/x5/mg/fgJ1QLMeahbwgQXPRa3owDf2b9D-0-230-0-345-crop.jpg?v=a577370da2,https://letterboxd.com/film/deathgasm/
Midnight Runners,"Lotte Entertainment, Movierock, Studio By The Library, Very Good Studio",2017,"Comedy, Crime, Action",Jason Kim,"Lee Jun-u, Kim Jae-joong, Kim Woo-jae","Park Seo-jun, Kang Ha-neul, Sung Dong-il, Park Ha-seon, Go Joon, Lee Ho-jung, Bae Yoo-ram, Cho Joon, Byeon Woo-seok, Kim Kyu-baek, Oh Yu-jin, Jeong Da-eun, Lee Eun-saem, Cha Si-won, Hwang Chan-seong, Shin An-jin, Jeong Dong-hoon, Lee Seung-hee, Kwon You-na, Lee Jun-hyeok, Seo Jeong-gyu, Ha Hyun-soo",3.8,108,"Two apathetic police academy recruits who become best buddies through the tough training together witness a woman being abducted right before their very eyes. As they were taught in the academy, they quickly report the incident to the police, but the police are in no hurry to jump on the case. So the duo decide to take the matter into their own hands and rescue the woman.",https://a.ltrbxd.com/resized/film-poster/3/8/5/2/5/7/385257-midnight-runners-0-230-0-345-crop.jpg?v=21949ec75a,https://letterboxd.com/film/midnight-runners/
Justice League: War,"DC Entertainment, Warner Bros. Animation",2014,"Action, Animation",Jay Oliva,James Tucker,"Michelle Monaghan, Alan Tudyk, Sean Astin, Shemar Moore, Christopher Gorham, Justin Kirk, Jason O'Mara, George Newbern, Zach Callison, Bruce Thomas, Rocky Carroll, Georgie Kidder, Hynden Walch, Dee Bradley Baker, Ioan Gruffudd, Melique Berger, Richard McGonagle, Kimberly Brooks, John Mariano, Roger Rose, Matthew Mercer, Andrea Romano, Gary Anthony Sturgis, Steve Blum",3.3,79,"The world is under attack by an alien armada led by the powerful Apokoliptian, Darkseid. A group of superheroes consisting of Superman, Batman, Wonder Woman, The Flash, Green Lantern, Cyborg, and Shazam must set aside their differences and gather together to defend Earth.",https://a.ltrbxd.com/resized/film-poster/1/5/4/4/0/1/154401-justice-league-war-0-230-0-345-crop.jpg?v=5bba7b4370,https://letterboxd.com/film/justice-league-war/
Rock 'n' Roll High School,New World Pictures,1979,"Music, Comedy",Allan Arkush,Michael Finnell,"P. J. Soles, Vincent Van Patten, Clint Howard, Dey Young, Mary Woronov, Paul Bartel, Dick Miller, Don Steele, Alix Elias, Daniel Davies, Lynn Farrell, Loren Lester, Herbie Braha, Grady Sutton, Joey Ramone, Johnny Ramone, Dee Dee Ramone, Marky Ramone, Chris Somma, Marla Rosenfield, Barbara Ann Grimes, Terry Soda, Joe Van Sickle, Debbie Evans, Allan Arkush",3.5,93,"A group of rock-music-loving students, with the help of the Ramones, take over their school to combat its newly installed oppressive administration.",https://a.ltrbxd.com/resized/sm/upload/9t/lh/ai/bo/s1UIR191nlFwBt77oQh3UngiSWO-0-230-0-345-crop.jpg?v=f26feeeca7,https://letterboxd.com/film/rock-n-roll-high-school/
The Natural,TriStar Pictures,1984,Drama,Barry Levinson,"Mark Johnson, Robert F. Colesberry","Robert Redford, Robert Duvall, Glenn Close, Kim Basinger, Wilford Brimley, Barbara Hershey, Robert Prosky, Richard Farnsworth, Joe Don Baker, Darren McGavin, Michael Madsen, John Finnegan, Alan Fudge, Ken Grassano, Mike Starr, Mickey Treanor, Jon Van Ness, Anthony J. Ferrara, George Wilkosz, Paul Sullivan Jr, Rachel Hall, Sibby Sisti, Ralph Tabakin, Edward Walsh",3.5,137,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,https://a.ltrbxd.com/resized/sm/upload/xa/u0/s6/45/f1iPiQoYbQ40XsJHPyMIiBmSrDB-0-230-0-345-crop.jpg?v=5422450fdd,https://letterboxd.com/film/the-natural/
Tropico,Black Hand Cinema,2013,"Music, Drama, Fantasy",Anthony Mandler,Heather Heller,"Lana Del Rey, Shaun Ross, Jeffrey Wayne Sutherland, Lloyd Douglas, Jodi Fleischer, Kevin Lee Light, Jeff Skora, Noel Schwab, Steve Carnaham, Andy Brosseau, Roger Rignack, Jan Freifeld, Richard Halverson, Colette, Bernadette, Alyssa Morgan, Trystin Schou, Brandon Knaff, Morgan Smith, Charlie Grant, Mark Doble, John Dane, Lawson Taylor, Simba",4.2,27,"Based on the Biblical story of sin and redemption, Adam and Eve explore modern LA; the land of gods and monsters.",https://a.ltrbxd.com/resized/film-poster/1/6/9/1/3/9/169139-tropico-0-230-0-345-crop.jpg?v=50e6207ff5,https://letterboxd.com/film/tropico/
Girl with a Pearl Earring,"Archer Street Productions, Delux Productions, Pathé, Wild Bear Films",2003,"Romance, Drama",Peter Webber,"Andy Paterson, Anand Tucker, Bob Bellion, Jason Constantine, Jimmy de Brabant, Matthew T. Gannon","Scarlett Johansson, Colin Firth, Tom Wilkinson, Cillian Murphy, Judy Parfitt, Essie Davis, Joanna Scanlan, Gabrielle Reidy, Chris McHallem, Alakina Mann, Rollo Weeks, Anna Popplewell, Claire Johnston, John McEnery, Geoff Bell, Gintare Parulyte, Robert Sibenaler",3.2,101,"This film, adapted from a work of fiction by author Tracy Chevalier, tells a story about the events surrounding the creation of the painting “Girl With A Pearl Earring” by 17th century Dutch master Johannes Vermeer. A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.",https://a.ltrbxd.com/resized/film-poster/4/9/6/2/9/49629-girl-with-a-pearl-earring-0-230-0-345-crop.jpg?v=ef0f8a5905,https://letterboxd.com/film/girl-with-a-pearl-earring/
Cargo,"Metrol Technology, Causeway Films, Head Gear Films, Kreo Films, Addictive Pictures, White Hot Productions",2017,"Horror, Thriller, Drama","Yolanda Ramke, Ben Howling","Stephen Kelliher, Hilary Davis, Tom Harberd, Mark Patterson, John Schoenfelder, Samantha Jennings, Russell Ackerman, Kristina Ceyton","Martin Freeman, Simone Landers, Anthony Hayes, Susie Porter, Caren Pistorius, Kris McQuade, Natasha Wanganeen, Bruce R. Carter, David Gulpilil, Andy Rodoreda",3.1,105,"After being infected in the wake of a violent pandemic and with only 48 hours to live, a father struggles to find a new home for his baby daughter.",https://a.ltrbxd.com/resized/film-poster/3/5/9/4/5/1/359451-cargo-0-230-0-345-crop.jpg?v=0fdaaebe98,https://letterboxd.com/film/cargo-2017/
Sorority Row,"Karz Entertainment, Summit Entertainment, House Row Productions",2009,"Mystery, Horror",Stewart Hendler,"Bill Bannerman, Darrin Holender, Mike Karz","Briana Evigan, Leah Pipes, Rumer Willis, Jamie Chung, Julian Morris, Margo Harshman, Carrie Fisher, Audrina Patridge, Matt O'Leary, Maxx Hennard, Matt Lanter, Justine Wachsberger, Rick Applegate, Debra Gordon, Caroline D'Amore, Adam Barrie, Nikki Moore, Deja Kreutzberg, Teri Andrzejewski, Robert Belushi, Marie Blanchard, Ken Bolden, Megan Wolfley, Zack Garrett, Ashtin Petrella, Melissa Lukon, Joe Forgione, Kelly Dessoye, Katie Woolridge, Jeff Krajci, Joanna Waldsmith, Natalia Dove, Justin Tully, Chaton Anderson, Nayli Russo, Matt Cannon",2.7,101,"When five sorority girls inadvertently cause the murder of one of their sisters in a prank gone wrong, they agree to keep the matter to themselves and never speak of it again, so they can get on with their lives. This proves easier said than done, when after graduation a mysterious killer goes after the five of them and anyone who knows their secret.",https://a.ltrbxd.com/resized/film-poster/3/5/1/2/3/35123-sorority-row-0-230-0-345-crop.jpg?v=be75537e43,https://letterboxd.com/film/sorority-row/
Rivals,"Happy Prince, The Walt Disney Company EMEA",2024,Drama,"Elliot Hegarty, Dee Koppang O’Leary",N/A,"David Tennant, Aidan Turner, Danny Dyer, Alex Hassell, Nafessa Williams, Bella Maclean, Katherine Parkinson, Victoria Smurfit, Claire Rushbrook, Oliver Chris, Lisa McGrillis, Emily Atack, Rufus Jones, Luke Pasqualino, Catriona Chandler, Bryony Hannah, Milo Callaghan, Lara Peake, Wendy Albiston, Gary Shelford",4.0,N/A,"It is 1986 and Britain is booming. “Rivals” dives headfirst into the cutthroat world of TV where hair-dos are big and ambitions are even bigger. Deals are brokered in boardrooms, as well as bedrooms. Nobody can be sure who will come out on top. With every man and woman out only for themselves, can true love really blossom?",https://a.ltrbxd.com/resized/film-poster/1/2/7/3/4/6/0/1273460-rivals-2024-1-0-230-0-345-crop.jpg?v=56108c99ab,https://letterboxd.com/film/rivals-2024-1/
